21    82    22    81
46    47    21    47
07    88    27    89
37    38    33    42
05    99    51    99
58    83    59    84
08    12    11    53
09    55    10    11
29    55    30    56
11    78    12    77
26    57    05    62
85    91    05    85
21    58    15    93
27    27    27    57
02    09    12    96
21    30    26    29
01    99    98    99
13    93    14    95
81    81    21    82
12    13    12    78
43    83    04    42
25    25    25    95
54    77    53    96
36    92    72    93
24    30    24    26
60    60    21    59
55    55    54    95
77    77    10    78
56    96    18    93
61    61    61    72
63    98    63    64
35    50    36    49
08    87    01    85
59    81    81    81
95    96    92    97
01    58    02    57
32    57    32    82
62    66    67    67
15    33    27    46
09    35    36    88
63    93    01    03
63    86    63    64
20    28    19    29
32    85    32    32
19    71    29    71
04    66    06    65
67    77    66    78
91    96    01    95
07    57    08    93
45    45    45    46
23    23    22    97
01    02    02    98
10    23    22    83
32    46    36    46
93    94    20    94
12    87    11    91
10    77    09    88
11    20    21    43
15    76    15    15
10    98    10    97
59    71    12    27
03    56    02    56
24    88    25    25
40    40    39    46
54    89    54    88
18    93    94    94
23    62    22    62
23    23    23    49
21    95    63    95
02    95    94    94
08    13    11    12
29    82    29    81
24    46    25    46
15    92    58    92
05    86    05    78
03    98    04    96
21    56    56    67
78    98    19    99
16    28    16    29
95    96    96    96
04    95    16    96
21    68    21    68
18    94    19    91
07    56    08    90
08    56    08    08
28    66    29    76
72    73    74    89
21    42    22    41
30    88    47    77
39    99    40    98
70    71    30    71
29    90    89    90
44    75    44    76
32    35    36    95
18    48    19    48
10    67    09    69
18    70    17    69
39    51    05    82
07    96    96    99
09    27    10    82
86    86    53    86
34    53    49    54
05    91    91    99
73    76    68    81
53    94    53    93
01    62    40    62
34    52    53    53
49    63    48    66
53    53    53    93
02    72    03    71
22    97    21    99
46    91    47    91
08    53    07    98
20    21    15    21
05    99    05    98
06    07    06    51
05    64    06    88
21    87    20    87
30    81    81    82
06    82    06    83
09    09    09    12
08    19    09    19
64    80    63    80
34    34    33    66
20    20    19    70
01    97    97    99
87    88    12    87
13    88    14    87
11    94    05    99
46    84    45    83
24    90    25    40
24    74    30    73
06    20    07    21
10    76    60    91
35    57    35    56
21    74    75    75
18    77    76    78
06    85    84    84
13    94    14    97
60    75    61    69
58    59    58    97
47    48    02    48
25    59    26    31
27    28    27    96
12    79    06    78
37    83    44    84
15    46    11    45
42    90    41    95
44    79    27    79
05    55    05    06
55    56    55    83
81    92    80    99
31    68    32    68
08    71    09    09
15    85    16    84
41    48    49    61
86    87    66    87
86    96    26    85
10    42    10    10
20    28    26    48
06    86    07    58
30    77    75    80
10    65    09    09
18    91    17    95
31    76    77    85
26    28    28    68
29    37    29    32
92    92    13    93
06    61    07    61
01    98    02    02
52    70    60    80
04    91    02    91
07    45    04    06
40    85    41    61
05    06    05    89
23    71    70    71
04    68    46    67
57    83    57    75
02    98    21    99
04    98    03    98
10    79    10    11
41    41    41    44
17    17    17    93
06    85    07    07
03    12    02    80
25    49    25    60
